p1,p2,temperature1,temperature2,temperature3,humidity1,humidity2,humidity3,p1day1,p1day2,p1day3,p2day1,p2day2,p2day3
78,40.6,8.43,7.01,5.91,59.43,62.195,63.39,53.2,88.85,92.46,29.55,44.58,47.81
53.2,29.55,7.01,5.91,16.7,62.195,63.39,38.87,88.85,92.46,66.2,44.58,47.81,47.93
88.85,44.58,5.91,16.7,20.39,63.39,38.87,32.44,92.46,66.2,45.93,47.81,47.93,33.27
92.46,47.81,16.7,20.39,19.38,38.87,32.44,35.92,66.2,45.93,28.65,47.93,33.27,19.32
66.2,47.93,20.39,19.38,13.78,32.44,35.92,48.96,45.93,28.65,111.735,33.27,19.32,54.235
45.93,33.27,19.38,13.78,10.05,35.92,48.96,59.94,28.65,111.735,246.2,19.32,54.235,133.73
28.65,19.32,13.78,10.05,8.85,48.96,59.94,62.25,111.735,246.2,198.2,54.235,133.73,108.6
111.735,54.235,10.05,8.85,7.06,59.94,62.25,63.54,246.2,198.2,255.41,133.73,108.6,132.45
246.2,133.73,8.85,7.06,5.59,62.25,63.54,63.31,198.2,255.41,118.45,108.6,132.45,61.9
198.2,108.6,7.06,5.59,7.34,63.54,63.31,59.59,255.41,118.45,96.1,132.45,61.9,54.08
255.41,132.45,5.59,7.34,18.31,63.31,59.59,36.52,118.45,96.1,58.4,61.9,54.08,43.6
118.45,61.9,7.34,18.31,18.22,59.59,36.52,38.48,96.1,58.4,49.53,54.08,43.6,33.77
33.68,18.75,9.68,6.265,4.96,68.175,78.36,80.47,11.13,62.85,81.565,6.085,35.4,41.885
11.13,6.085,6.265,4.96,6.135,78.36,80.47,78.13,62.85,81.565,87.7,35.4,41.885,45.45
62.85,35.4,4.96,6.135,10.945,80.47,78.13,66.205,81.565,87.7,48.085,41.885,45.45,31.015
81.565,41.885,6.135,10.945,12.77,78.13,66.205,59.515,87.7,48.085,32.535,45.45,31.015,21.435
87.7,45.45,10.945,12.77,12.84,66.205,59.515,58.58,48.085,32.535,36.5,31.015,21.435,22.93
48.085,31.015,12.77,12.84,9.275,59.515,58.58,73.03,32.535,36.5,62.235,21.435,22.93,36.65
32.535,21.435,12.84,9.275,8.725,58.58,73.03,78.165,36.5,62.235,68.335,22.93,36.65,39.2
36.5,22.93,9.275,8.725,9.36,73.03,78.165,80.495,62.235,68.335,65.2,36.65,39.2,38.065
62.235,36.65,8.725,9.36,10.05,78.165,80.495,81.2,68.335,65.2,64.715,39.2,38.065,35.65
68.335,39.2,9.36,10.05,9.925,80.495,81.2,82.96,65.2,64.715,61.465,38.065,35.65,32.4
65.2,38.065,10.05,9.925,10.53,81.2,82.96,81.68,64.715,61.465,56.165,35.65,32.4,32.35
64.715,35.65,9.925,10.53,10.89,82.96,81.68,77.77,61.465,56.165,52.5,32.4,32.35,31.15
61.465,32.4,10.53,10.89,9.895,81.68,77.77,86.225,56.165,52.5,65.93,32.35,31.15,38.485
56.165,32.35,10.89,9.895,9.43,77.77,86.225,89.77,52.5,65.93,87.73,31.15,38.485,46
52.5,31.15,9.895,9.43,9.765,86.225,89.77,88.505,65.93,87.73,116.77,38.485,46,60.5
65.93,38.485,9.43,9.765,9.895,89.77,88.505,87.67,87.73,116.77,119.2,46,60.5,58.07
87.73,46,9.765,9.895,8.55,88.505,87.67,92.25,116.77,119.2,134.765,60.5,58.07,57.43
116.77,60.5,9.895,8.55,9.51,87.67,92.25,87.96,119.2,134.765,100.25,58.07,57.43,50.72
119.2,58.07,8.55,9.51,12.85,92.25,87.96,73.865,134.765,100.25,110.45,57.43,50.72,55.535
134.765,57.43,9.51,12.85,17.07,87.96,73.865,57.215,100.25,110.45,50,50.72,55.535,30.5
100.25,50.72,12.85,17.07,15.53,73.865,57.215,60.875,110.45,50,23.85,55.535,30.5,14.75
110.45,55.535,17.07,15.53,11.49,57.215,60.875,75.62,50,23.85,40.93,30.5,14.75,23.315
50,30.5,15.53,11.49,8.71,60.875,75.62,83.355,23.85,40.93,53.07,14.75,23.315,30.285
23.85,14.75,11.49,8.71,5.53,75.62,83.355,93.88,40.93,53.07,72.32,23.315,30.285,38.35
40.93,23.315,8.71,5.53,6.935,83.355,93.88,87.96,53.07,72.32,33.9,30.285,38.35,20.93
53.07,30.285,5.53,6.935,7.36,93.88,87.96,85.345,72.32,33.9,67.335,38.35,20.93,33.365
72.32,38.35,6.935,7.36,10.99,87.96,85.345,71.6,33.9,67.335,58,20.93,33.365,29.715
33.9,20.93,7.36,10.99,14.52,85.345,71.6,60,67.335,58,60.13,33.365,29.715,35.75
67.335,33.365,10.99,14.52,13.805,71.6,60,63.615,58,60.13,77.685,29.715,35.75,42.765
58,29.715,14.52,13.805,10.545,60,63.615,79.055,60.13,77.685,157.465,35.75,42.765,76.8
60.13,35.75,13.805,10.545,7.94,63.615,79.055,87.935,77.685,157.465,168.33,42.765,76.8,81.7
