0,1,2,3,4
0.709,0.93,0.798,0.835,0.87
0.93,0.798,0.835,0.87,0.879
0.798,0.835,0.87,0.879,1.019
0.835,0.87,0.879,1.019,1.017
0.87,0.879,1.019,1.017,1.207
0.879,1.019,1.017,1.207,1.002
1.019,1.017,1.207,1.002,1.018
1.017,1.207,1.002,1.018,1.071
1.207,1.002,1.018,1.071,1.068
1.002,1.018,1.071,1.068,1.268
1.018,1.071,1.068,1.268,1.075
1.071,1.068,1.268,1.075,1.328
1.068,1.268,1.075,1.328,1.35
1.268,1.075,1.328,1.35,1.365
1.075,1.328,1.35,1.365,1.14
1.328,1.35,1.365,1.14,1.473
1.35,1.365,1.14,1.473,1.013
1.365,1.14,1.473,1.013,1.492
1.14,1.473,1.013,1.492,1.514
1.473,1.013,1.492,1.514,1.136
1.013,1.492,1.514,1.136,1.164
1.492,1.514,1.136,1.164,1.146
1.514,1.136,1.164,1.146,1.357
1.136,1.164,1.146,1.357,1.192
1.164,1.146,1.357,1.192,1.027
1.146,1.357,1.192,1.027,1.091
1.357,1.192,1.027,1.091,1.078
1.192,1.027,1.091,1.078,1.176
1.027,1.091,1.078,1.176,0.9
1.091,1.078,1.176,0.9,0.789
1.078,1.176,0.9,0.789,0.994
1.176,0.9,0.789,0.994,0.721
0.9,0.789,0.994,0.721,0.632
0.789,0.994,0.721,0.632,0.663
0.994,0.721,0.632,0.663,0.663
0.721,0.632,0.663,0.663,0.671
0.632,0.663,0.663,0.671,0.677
0.663,0.663,0.671,0.677,0.584
0.663,0.671,0.677,0.584,0.801
0.671,0.677,0.584,0.801,0.793
0.677,0.584,0.801,0.793,0.759
0.584,0.801,0.793,0.759,0.923
0.801,0.793,0.759,0.923,0.756
0.793,0.759,0.923,0.756,0.778
0.759,0.923,0.756,0.778,0.764
0.923,0.756,0.778,0.764,0.881
0.756,0.778,0.764,0.881,0.997
0.778,0.764,0.881,0.997,0.868
0.764,0.881,0.997,0.868,0.875
0.881,0.997,0.868,0.875,0.865
0.997,0.868,0.875,0.865,0.775
0.868,0.875,0.865,0.775,0.718
0.875,0.865,0.775,0.718,0.867
0.865,0.775,0.718,0.867,0.728
0.775,0.718,0.867,0.728,0.739
0.718,0.867,0.728,0.739,0.709
0.867,0.728,0.739,0.709,0.816
0.728,0.739,0.709,0.816,0.794
0.739,0.709,0.816,0.794,0.882
0.709,0.816,0.794,0.882,0.865
0.816,0.794,0.882,0.865,0.863
0.794,0.882,0.865,0.863,0.784
0.882,0.865,0.863,0.784,0.762
0.865,0.863,0.784,0.762,0.816
0.863,0.784,0.762,0.816,0.857
0.784,0.762,0.816,0.857,0.856
0.762,0.816,0.857,0.856,0.924
0.949,1.01,0.862,1.032,0.927
1.01,0.862,1.032,0.927,0.919
0.862,1.032,0.927,0.919,1.058
1.032,0.927,0.919,1.058,1.036
0.927,0.919,1.058,1.036,1.043
0.919,1.058,1.036,1.043,0.867
1.058,1.036,1.043,0.867,0.853
1.036,1.043,0.867,0.853,1.141
1.043,0.867,0.853,1.141,1.125
0.867,0.853,1.141,1.125,1.177
0.853,1.141,1.125,1.177,1.002
1.141,1.125,1.177,1.002,1.049
1.125,1.177,1.002,1.049,1.155
1.177,1.002,1.049,1.155,1.213
1.002,1.049,1.155,1.213,1.272
1.049,1.155,1.213,1.272,1.382
1.155,1.213,1.272,1.382,1.451
1.213,1.272,1.382,1.451,1.017
1.272,1.382,1.451,1.017,1.389
1.382,1.451,1.017,1.389,1.359
1.451,1.017,1.389,1.359,1.332
1.017,1.389,1.359,1.332,1.187
1.389,1.359,1.332,1.187,1.22
1.359,1.332,1.187,1.22,0.764
1.332,1.187,1.22,0.764,0.74
1.187,1.22,0.764,0.74,0.636
1.22,0.764,0.74,0.636,0.607
0.764,0.74,0.636,0.607,0.605
0.74,0.636,0.607,0.605,0.617
0.636,0.607,0.605,0.617,0.684
0.607,0.605,0.617,0.684,0.688
0.605,0.617,0.684,0.688,0.696
0.617,0.684,0.688,0.696,0.714
0.684,0.688,0.696,0.714,0.725
0.688,0.696,0.714,0.725,0.699
0.696,0.714,0.725,0.699,0.701
0.714,0.725,0.699,0.701,0.689
0.725,0.699,0.701,0.689,0.597
0.699,0.701,0.689,0.597,0.605
0.701,0.689,0.597,0.605,0.626
0.689,0.597,0.605,0.626,0.626
0.597,0.605,0.626,0.626,0.73
0.605,0.626,0.626,0.73,0.603
0.626,0.626,0.73,0.603,0.733
0.626,0.73,0.603,0.733,0.743
0.73,0.603,0.733,0.743,0.746
0.603,0.733,0.743,0.746,0.861
0.733,0.743,0.746,0.861,0.771
0.743,0.746,0.861,0.771,0.719
0.746,0.861,0.771,0.719,0.859
0.861,0.771,0.719,0.859,0.811
0.771,0.719,0.859,0.811,0.832
0.719,0.859,0.811,0.832,0.87
0.859,0.811,0.832,0.87,0.79
0.811,0.832,0.87,0.79,0.747
0.832,0.87,0.79,0.747,0.814
0.87,0.79,0.747,0.814,0.826
0.79,0.747,0.814,0.826,0.859
0.747,0.814,0.826,0.859,0.883
0.814,0.826,0.859,0.883,0.885
0.826,0.859,0.883,0.885,1.004
0.859,0.883,0.885,1.004,0.846
0.883,0.885,1.004,0.846,1.077
0.885,1.004,0.846,1.077,1.023
1.004,0.846,1.077,1.023,0.939
0.846,1.077,1.023,0.939,1.198
1.077,1.023,0.939,1.198,1.192
1.023,0.939,1.198,1.192,1.179
0.939,1.198,1.192,1.179,1.178
1.198,1.192,1.179,1.178,1.281
1.192,1.179,1.178,1.281,1.262
1.179,1.178,1.281,1.262,1.144
1.178,1.281,1.262,1.144,1.28
1.281,1.262,1.144,1.28,1.301
1.262,1.144,1.28,1.301,1.19
1.144,1.28,1.301,1.19,1.401
1.28,1.301,1.19,1.401,1.467
1.301,1.19,1.401,1.467,1.041
1.19,1.401,1.467,1.041,1.484
1.401,1.467,1.041,1.484,1.114
1.467,1.041,1.484,1.114,1.18
1.041,1.484,1.114,1.18,1.233
1.484,1.114,1.18,1.233,1.11
1.114,1.18,1.233,1.11,1.022
1.18,1.233,1.11,1.022,1.028
1.233,1.11,1.022,1.028,1.24
1.11,1.022,1.028,1.24,1.053
1.022,1.028,1.24,1.053,1.012
1.028,1.24,1.053,1.012,0.797
1.24,1.053,1.012,0.797,1.229
1.053,1.012,0.797,1.229,1.022
1.012,0.797,1.229,1.022,0.726
0.797,1.229,1.022,0.726,0.641
1.229,1.022,0.726,0.641,0.686
1.022,0.726,0.641,0.686,0.688
0.726,0.641,0.686,0.688,0.694
0.641,0.686,0.688,0.694,0.695
0.686,0.688,0.694,0.695,0.605
0.688,0.694,0.695,0.605,0.866
0.694,0.695,0.605,0.866,0.805
0.695,0.605,0.866,0.805,0.807
0.605,0.866,0.805,0.807,0.907
0.866,0.805,0.807,0.907,0.898
0.805,0.807,0.907,0.898,0.865
0.807,0.907,0.898,0.865,0.773
0.907,0.898,0.865,0.773,0.903
0.898,0.865,0.773,0.903,0.852
0.865,0.773,0.903,0.852,0.842
0.773,0.903,0.852,0.842,1.06
0.903,0.852,0.842,1.06,0.94
0.852,0.842,1.06,0.94,0.979
0.842,1.06,0.94,0.979,0.794
1.06,0.94,0.979,0.794,0.753
0.94,0.979,0.794,0.753,0.91
0.979,0.794,0.753,0.91,0.754
0.794,0.753,0.91,0.754,0.903
0.753,0.91,0.754,0.903,0.768
0.91,0.754,0.903,0.768,0.817
0.754,0.903,0.768,0.817,0.915
0.903,0.768,0.817,0.915,0.973
0.768,0.817,0.915,0.973,0.968
0.817,0.915,0.973,0.968,0.941
0.915,0.973,0.968,0.941,1.004
0.973,0.968,0.941,1.004,1.039
0.968,0.941,1.004,1.039,1.061
0.941,1.004,1.039,1.061,1.079
1.004,1.039,1.061,1.079,0.836
1.039,1.061,1.079,0.836,0.621
1.061,1.079,0.836,0.621,0.863
1.079,0.836,0.621,0.863,1.187
0.836,0.621,0.863,1.187,1.2
0.731,0.764,0.514,0.722,0.7
0.764,0.514,0.722,0.7,0.979
0.514,0.722,0.7,0.979,0.795
0.722,0.7,0.979,0.795,1.084
0.7,0.979,0.795,1.084,0.853
0.979,0.795,1.084,0.853,0.944
0.795,1.084,0.853,0.944,0.886
1.084,0.853,0.944,0.886,0.871
