Date,Cl,Mn,NO3
2019-08-08 11:30:00,0.05,6.0,1.068
2019-08-14 11:50:00,0.14,2.0,1.159
2019-10-09 11:10:00,0.05,3.0,1.221
2019-11-09 11:40:00,0.35,3.0,1.197
2019-04-10 11:20:00,0.13,2.0,1.372
2019-10-10 10:50:00,0.31,2.0,1.343
2019-10-16 12:40:00,0.31,3.0,1.312
2019-10-28 12:15:00,0.14,1.0,1.435
2019-06-11 10:10:00,0.12,4.0,1.35
2019-08-11 11:40:00,0.32,3.0,1.295
2019-11-11 11:30:00,0.16,3.0,1.354
2019-11-13 10:55:00,0.16,3.0,1.343
2019-11-18 11:35:00,0.12,2.0,0.911
2019-11-21 11:50:00,0.3,4.0,0.882
2019-04-12 10:40:00,0.15,3.0,0.609
2019-09-12 09:55:00,0.11,6.0,0.568
2019-11-12 11:00:00,0.12,2.0,0.588
2020-07-01 10:45:00,0.09,3.0,0.676
2020-01-13 11:40:00,0.18,4.0,0.683
2020-01-16 10:35:00,0.13,3.0,0.674
2020-01-23 10:00:00,0.3,2.0,0.706
2020-10-02 11:00:00,0.1,1.0,0.72
2020-02-18 12:40:00,0.1,1.0,0.635
2020-02-19 11:40:00,0.14,3.0,0.681
2020-04-03 12:15:00,0.14,3.0,0.651
2020-03-25 13:10:00,0.14,3.0,0.698
2020-09-04 12:30:00,0.32,3.0,0.749
2020-04-13 11:50:00,0.14,1.0,0.761
2020-04-15 10:05:00,0.17,1.0,0.766
2020-04-23 10:30:00,0.11,1.0,0.81
2020-05-13 13:40:00,0.33,4.0,0.819
2020-05-20 11:55:00,0.11,3.0,0.84
2020-05-22 12:00:00,0.09,2.0,0.756
2020-03-06 10:55:00,0.1,3.0,0.894
2020-10-06 10:30:00,0.15,1.0,1.002
2020-06-15 11:40:00,0.07,6.0,1.028
2020-07-07 12:10:00,0.17,4.0,1.118
2020-07-20 10:40:00,0.11,4.0,1.116
2020-07-23 12:00:00,0.11,3.0,1.228
2020-11-08 11:00:00,0.1,3.0,1.228
2020-08-13 12:30:00,0.18,1.0,1.253
2020-08-20 13:35:00,0.16,2.0,1.24
2020-01-09 12:00:00,0.05,3.0,1.314
2020-09-09 12:35:00,0.12,6.0,1.346
2020-09-21 12:10:00,0.14,3.0,1.412
2020-10-20 12:20:00,0.18,1.0,1.51
2020-10-24 11:50:00,0.09,4.0,1.479
2020-10-29 12:10:00,0.05,3.0,1.424
2020-01-11 11:45:00,0.16,4.0,1.5
2020-12-11 11:00:00,0.21,3.0,1.062
2020-11-17 11:30:00,0.18,1.0,1.318
2020-11-29 12:00:00,0.1,2.0,0.713
2020-06-12 11:55:00,0.13,2.0,0.657
2020-09-12 11:40:00,0.09,3.0,0.654
2020-11-12 15:16:00,0.16,3.0,0.66
2020-12-15 15:35:00,0.13,1.0,0.564
2021-01-25 12:20:00,0.16,1.0,0.773
2021-03-02 10:15:00,0.11,1.0,0.83
2021-10-02 10:30:00,0.11,1.0,0.832
2021-02-17 10:50:00,0.15,1.0,0.933
2021-02-22 12:15:00,0.09,4.0,0.985
2021-02-03 10:20:00,0.15,1.0,1.005
2021-10-03 10:05:00,0.12,3.0,0.97
2021-03-15 11:45:00,0.2,1.0,0.984
2021-03-18 11:40:00,0.18,1.0,0.939
2021-03-23 09:35:00,0.17,2.0,0.991
2021-06-04 11:50:00,0.15,2.0,0.925
2021-08-04 11:45:00,0.07,5.0,0.876
2021-04-15 12:25:00,0.09,1.0,0.904
2021-04-21 12:00:00,0.05,2.0,0.749
2021-12-05 12:05:00,0.09,5.0,0.948
2021-05-17 12:55:00,0.12,5.0,0.954
2021-05-20 10:00:00,0.14,2.0,0.96
2021-05-25 09:40:00,0.07,3.0,0.966
2021-01-06 13:30:00,0.18,2.0,0.992
2021-06-17 10:45:00,0.11,1.0,1.135
2019-07-19 11:25:00,0.1,3.0,0.328
2019-06-08 10:40:00,0.31,2.0,0.359
2019-09-08 12:00:00,0.31,2.0,0.429
2019-08-15 10:50:00,0.07,2.0,0.494
2019-09-16 09:30:00,0.31,3.0,0.309
2019-03-10 12:50:00,0.16,2.0,0.25
2019-07-10 12:15:00,0.16,3.0,0.268
2019-11-10 09:40:00,0.3,3.0,0.317
2019-10-22 10:00:00,0.27,6.0,0.323
2019-12-11 12:10:00,0.13,8.0,0.456
2019-02-12 13:10:00,0.14,3.0,0.583
2020-08-01 12:00:00,0.21,2.0,0.698
2020-01-23 13:15:00,0.27,1.0,0.642
2020-07-02 10:35:00,0.15,2.0,0.629
2020-02-21 10:30:00,0.21,2.0,0.618
2020-07-04 10:00:00,0.32,2.0,0.663
2020-04-22 11:45:00,0.14,8.0,0.529
2020-04-27 11:40:00,0.32,2.0,1.0
2020-05-18 13:15:00,0.12,2.0,0.393
2020-05-22 09:10:00,0.31,2.0,0.351
2020-08-06 10:10:00,0.31,2.0,0.412
2020-06-16 11:05:00,0.09,2.0,0.435
2020-08-07 12:35:00,0.1,15.0,0.397
2020-11-07 12:05:00,0.08,6.0,0.406
2020-05-11 13:50:00,0.18,4.0,0.25
2020-12-11 12:45:00,0.23,1.0,0.563
2020-11-17 12:25:00,0.25,1.0,0.573
2020-11-25 12:25:00,0.16,1.0,0.619
2020-01-12 11:45:00,0.2,1.0,0.732
2020-04-12 13:00:00,0.24,1.0,0.683
2020-09-12 09:50:00,0.33,2.0,0.711
2021-01-14 12:20:00,0.24,2.0,0.331
2021-01-21 12:35:00,0.21,1.0,0.529
2021-02-15 11:30:00,0.15,3.0,0.505
2021-03-26 13:00:00,0.21,2.0,0.438
2021-06-04 12:00:00,0.13,5.0,0.554
2021-04-22 12:10:00,0.12,3.0,0.579
2021-11-05 13:10:00,0.15,2.0,0.782
2021-05-19 12:45:00,0.19,4.0,0.618
2021-03-06 09:30:00,0.16,2.0,0.418
2021-06-14 11:10:00,0.08,3.0,0.371
2021-06-24 11:25:00,0.23,2.0,0.311
2021-06-28 12:40:00,0.11,19.0,0.304
2021-06-30 12:40:00,0.14,2.0,0.288
2019-09-07 11:25:00,0.07,2.0,0.99
2019-08-15 12:10:00,0.05,4.0,1.137
2020-01-23 10:20:00,0.05,3.0,0.705
2020-10-02 12:45:00,0.21,3.0,0.678
2020-02-18 11:25:00,0.14,4.0,0.687
2020-11-03 10:20:00,0.09,3.0,0.662
2020-04-15 10:30:00,0.05,1.0,0.765
2020-05-14 11:45:00,0.05,3.0,0.842
2020-02-06 11:00:00,0.05,1.0,0.886
2020-06-19 10:10:00,0.05,3.0,1.1
2020-07-10 10:20:00,0.05,4.0,1.442
2020-08-10 11:55:00,0.05,3.0,1.482
2020-11-19 10:25:00,0.15,1.0,1.139
2021-01-13 10:30:00,0.05,1.0,0.705
2021-03-16 09:50:00,0.05,1.0,0.964
2021-03-21 12:13:00,0.18,3.0,0.932
2021-12-05 09:20:00,0.09,2.0,0.918
2021-05-20 11:45:00,0.09,6.0,0.726
2021-06-17 09:40:00,0.05,1.0,1.153
2019-10-07 11:40:00,0.08,3.0,0.385
2019-01-10 11:15:00,0.1,4.0,0.389
2019-07-11 11:20:00,0.18,4.0,0.26
2019-02-12 11:30:00,0.18,2.0,0.582
2020-01-21 12:00:00,0.15,3.0,0.634
2020-02-13 10:20:00,0.18,3.0,0.663
2020-11-05 12:15:00,0.21,1.0,0.686
2020-06-18 12:30:00,0.37,4.0,0.444
2020-06-23 12:35:00,0.12,4.0,0.349
2020-05-08 12:00:00,0.18,1.0,0.414
2020-05-11 12:10:00,0.15,4.0,0.25
2021-01-14 12:40:00,0.14,1.0,0.45
2021-02-18 12:15:00,0.18,1.0,0.498
2021-11-03 11:50:00,0.2,2.0,0.447
2019-07-25 11:55:00,0.11,5.0,0.328
2019-07-08 09:40:00,0.33,2.0,0.371
2019-02-09 11:50:00,0.12,2.0,0.359
2019-09-09 09:40:00,0.33,2.0,0.309
2019-09-18 12:40:00,0.24,2.0,0.288
2019-02-10 10:10:00,0.09,3.0,0.262
2019-04-11 11:15:00,0.22,3.0,0.25
2019-11-13 10:10:00,0.13,3.0,1.031
2019-11-20 09:50:00,0.15,3.0,0.542
2019-02-12 10:25:00,0.12,2.0,0.561
2019-05-12 09:55:00,0.28,1.0,0.644
2020-01-21 09:50:00,0.34,3.0,0.622
2020-07-02 11:30:00,0.33,2.0,0.645
2020-02-24 09:20:00,0.11,1.0,0.59
2020-05-03 09:20:00,0.35,1.0,0.523
2020-10-03 09:20:00,0.35,2.0,0.412
2020-01-04 10:20:00,0.11,1.0,0.626
2020-03-04 11:05:00,0.14,1.0,0.666
2020-04-24 11:00:00,0.14,1.0,1.0
2020-08-05 09:50:00,0.34,1.0,0.651
2020-08-06 13:55:00,0.18,1.0,0.403
2020-08-07 14:00:00,0.08,1.0,0.335
2020-07-17 13:50:00,0.19,2.0,0.336
2020-08-14 11:40:00,0.27,1.0,0.431
2020-08-09 12:20:00,0.18,2.0,0.459
2020-11-09 10:25:00,0.36,2.0,0.531
2020-02-10 14:10:00,0.13,2.0,0.496
2020-10-28 12:35:00,0.22,1.0,0.493
2020-11-20 12:00:00,0.23,1.0,0.437
2020-11-24 09:40:00,0.15,2.0,0.666
2020-01-12 11:20:00,0.15,1.0,0.683
2020-12-13 13:45:00,0.14,1.0,0.42
2021-01-14 10:20:00,0.1,2.0,0.335
2021-01-18 10:30:00,0.14,1.0,0.519
2021-10-02 10:50:00,0.12,1.0,0.538
2021-03-19 08:55:00,0.1,1.0,0.365
2021-03-26 11:35:00,0.3,1.0,0.417
2021-06-04 09:45:00,0.22,3.0,0.519
2021-04-16 13:30:00,0.28,1.0,0.564
2021-11-05 14:05:00,0.11,2.0,0.772
2021-05-19 09:25:00,0.23,1.0,0.579
2021-06-18 12:40:00,0.12,1.0,0.25
2021-06-23 10:50:00,0.05,6.0,0.343
2019-05-08 12:25:00,0.08,11.0,1.095
2019-11-18 09:50:00,0.35,14.0,1.099
2020-09-03 12:00:00,0.18,7.0,0.657
2020-02-04 11:55:00,0.17,10.0,0.759
2020-02-06 12:45:00,0.08,9.0,0.879
2020-07-23 12:30:00,0.14,1.0,1.143
2020-11-08 10:30:00,0.18,2.0,1.224
2020-02-11 10:00:00,0.15,1.0,1.498
2021-03-02 12:05:00,0.18,1.0,0.812
2021-02-04 12:20:00,0.17,1.0,0.869
2019-07-17 09:10:00,0.11,2.0,0.303
2019-09-08 10:10:00,0.34,1.0,0.455
2019-08-13 10:00:00,0.13,2.0,0.482
2019-08-15 09:50:00,0.05,1.0,0.506
2019-09-09 10:00:00,0.05,2.0,0.33
2019-03-10 09:40:00,0.32,2.0,0.261
2019-11-13 09:30:00,0.11,2.0,0.453
2019-09-12 09:30:00,0.39,2.0,0.639
2020-01-27 10:00:00,0.31,1.0,0.662
2020-07-02 11:00:00,0.08,3.0,0.618
2020-12-02 10:00:00,0.34,2.0,0.653
2020-03-18 10:20:00,0.34,1.0,0.505
2020-03-26 09:50:00,0.12,1.0,0.555
2020-06-04 11:20:00,0.35,1.0,0.641
2020-04-15 11:10:00,0.38,1.0,0.629
2020-04-22 09:15:00,0.17,2.0,0.595
2020-04-24 11:50:00,0.11,1.0,1.0
2020-05-14 08:00:00,0.07,1.0,0.598
2020-02-06 13:00:00,0.39,1.0,0.511
2020-06-18 09:45:00,0.15,2.0,0.407
2020-08-07 12:55:00,0.06,2.0,0.369
2020-04-08 11:30:00,0.2,1.0,0.443
2020-04-09 10:30:00,0.21,1.0,0.543
2020-10-28 09:35:00,0.19,1.0,0.496
2020-04-11 10:20:00,0.19,1.0,0.421
2020-11-11 09:35:00,0.17,1.0,0.557
2020-11-18 09:45:00,0.23,1.0,0.633
2020-11-25 10:20:00,0.32,1.0,0.69
2020-01-12 09:40:00,0.26,1.0,0.722
2021-01-14 11:35:00,0.17,2.0,0.325
2021-11-02 09:55:00,0.1,1.0,0.589
2021-02-18 09:40:00,0.18,1.0,0.495
2021-10-03 13:00:00,0.23,2.0,0.521
2021-03-18 10:00:00,0.09,2.0,0.409
2021-06-04 10:45:00,0.17,2.0,0.567
2021-04-19 09:30:00,0.17,1.0,0.542
2021-04-21 09:50:00,0.12,2.0,0.628
2021-11-05 09:35:00,0.13,2.0,0.786
2021-03-06 09:55:00,0.13,2.0,0.417
2021-06-17 09:15:00,0.15,1.0,0.374
2021-06-22 14:50:00,0.22,1.0,0.345
2019-10-07 11:15:00,0.06,3.0,0.437
2019-08-08 11:00:00,0.18,3.0,0.366
2019-01-10 10:55:00,0.06,4.0,0.451
2019-07-11 11:05:00,0.15,5.0,0.264
2020-01-21 11:40:00,0.13,3.0,0.631
2020-02-13 10:45:00,0.16,2.0,0.661
2020-04-14 10:55:00,0.06,1.0,0.647
2020-11-05 11:50:00,0.2,1.0,0.68
2020-06-18 12:50:00,0.35,2.0,0.442
2020-07-15 11:05:00,0.11,4.0,0.612
2020-11-19 11:10:00,0.24,1.0,0.526
2021-01-14 12:20:00,0.13,1.0,0.481
2021-02-18 11:30:00,0.21,1.0,0.494
2021-11-05 12:30:00,0.2,2.0,0.787
2021-05-16 13:20:00,0.08,5.0,0.778
2021-05-19 11:25:00,0.1,1.0,0.602
2019-12-07 10:25:00,0.08,3.0,1.026
2019-07-23 11:00:00,0.05,3.0,1.017
2019-12-08 13:30:00,0.05,3.0,1.087
2019-08-21 11:10:00,0.05,4.0,1.104
2019-02-09 12:40:00,0.05,5.0,1.17
2019-09-19 11:10:00,0.05,3.0,1.218
2019-01-10 11:20:00,0.21,2.0,1.324
2019-10-10 10:55:00,0.1,1.0,1.36
2019-10-16 12:00:00,0.05,3.0,1.32
2019-10-23 12:00:00,0.05,3.0,1.304
2019-05-11 11:50:00,0.23,3.0,1.209
2019-12-11 12:20:00,0.05,3.0,1.399
2019-11-25 11:00:00,0.13,3.0,0.623
2020-09-01 11:50:00,0.13,2.0,0.681
2020-04-02 11:30:00,0.1,3.0,0.695
2020-06-02 11:40:00,0.13,3.0,0.686
2020-02-13 12:20:00,0.2,5.0,0.725
2020-05-03 11:10:00,0.12,3.0,0.653
2020-03-17 11:50:00,0.11,3.0,0.756
2020-06-04 10:25:00,0.11,2.0,0.816
2020-04-14 11:20:00,0.12,1.0,0.754
2020-07-05 11:40:00,0.11,3.0,0.859
2020-05-21 10:50:00,0.05,3.0,0.874
2020-04-06 10:40:00,0.12,3.0,0.955
2020-11-06 11:15:00,0.11,1.0,1.009
2020-06-18 14:00:00,0.1,2.0,1.055
2020-01-07 11:30:00,0.15,2.0,1.101
2020-04-08 12:15:00,0.08,1.0,1.079
2020-08-19 13:20:00,0.09,2.0,1.296
2020-10-09 12:20:00,0.05,2.0,1.358
2020-06-10 15:30:00,0.06,1.0,1.363
2020-10-27 12:55:00,0.11,2.0,1.429
2020-10-30 12:45:00,0.08,2.0,1.486
2020-10-11 12:50:00,0.05,1.0,1.131
2020-11-19 11:00:00,0.05,3.0,1.16
2020-03-12 12:50:00,0.08,2.0,0.885
